Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,EquityAwardTaxes,InterestIncome,DandA,CashTaxesPaid,ShareRepurchases,DividendPerShare,Units,Currency,PassengersCarried,ASK,RPK,LoadFactor
H1 2015,2403.0,,,,235.0,9.8,537.0,133.0,5.5,0.119,378.0,-522.0,-144.0,1786.0,,,2153.0,1265.0,1118.0,,0.0,26.0,203.0,,0.0,0.065,millions,NZD,,,,83.9
FY2015,4925.0,,,,548.0,11.1,1161.0,327.0,6.6,0.292,1100.0,-1118.0,-18.0,1965.0,6775.0,4810.0,2322.0,1321.0,1122.0,4.0,0.0,56.0,402.0,170.0,0.0,0.16,millions,NZD,14297.0,35601.0,29934.0,84.1
H1 2016,2698.0,,,,459.0,17.0,811.0,338.0,12.5,0.301,541.0,-695.0,-154.0,2071.0,,,2608.0,1400.0,1123.0,,21.0,27.0,229.0,,0.0,0.1,millions,NZD,,,,84.4
FY2016,5231.0,,,,846.0,16.2,1542.0,490.0,9.4,0.436,1074.0,-998.0,76.0,2019.0,7127.0,5108.0,2567.0,1594.0,1123.0,5.0,39.0,53.0,452.0,185.0,0.0,0.2,millions,NZD,15161.0,39684.0,33223.0,83.7
H1 2017,2609.0,,,,,,,256.0,9.8,,376.0,,,,,,,1300.0,,,,,,,,0.1,millions,NZD,8100.0,,,
FY2017,5109.0,,,,551.0,10.8,1265.0,403.0,7.9,0.359,904.0,-853.0,51.0,1918.0,7076.0,5158.0,2514.0,1369.0,1123.0,5.0,19.0,43.0,484.0,116.0,0.0,0.21,millions,NZD,15952.0,42169.0,34814.0,82.6
H1 2018,2732.0,,,,327.0,12.0,701.0,232.0,8.5,0.207,479.0,-513.0,-34.0,2123.0,,,,1340.0,1121.0,2.0,17.0,18.0,258.0,,0.0,0.11,millions,NZD,8500.0,,,
FY2018,5495.0,,,,549.0,10.0,1292.0,355.0,6.5,0.316,1031.0,-809.0,222.0,2073.0,7703.0,5630.0,2734.0,1343.0,1123.0,5.0,17.0,40.0,516.0,81.0,0.0,0.22,millions,NZD,16966.0,44274.0,36662.0,82.8
H1 2019,2927.0,,,,209.0,7.1,609.0,152.0,5.2,0.135,475.0,-493.0,-18.0,2071.0,,,2795.0,1217.0,1126.0,6.0,14.0,22.0,278.0,,0.0,0.11,millions,NZD,,,,83.4
FY2019,5785.0,,,,381.0,6.6,1180.0,276.0,4.8,0.246,986.0,-821.0,165.0,1992.0,7621.0,5629.0,2597.0,1055.0,1123.0,7.0,14.0,48.0,554.0,23.0,0.0,0.22,millions,NZD,17738.0,46029.0,38573.0,83.8
H1 2020,3015.0,,,,203.0,6.7,615.0,101.0,3.3,0.09,534.0,-485.0,49.0,2014.0,,,,1003.0,1122.0,,,20.0,412.0,,,0.11,millions,NZD,,,,
FY2020,4836.0,,,,-57.0,-1.2,784.0,-454.0,-9.4,-0.404,230.0,-615.0,-385.0,1318.0,7543.0,6225.0,3701.0,438.0,1123.0,5.0,15.0,34.0,841.0,-40.0,0.0,0.0,millions,NZD,13525.0,36335.0,29568.0,81.4
H1 2021,1234.0,,,,-151.0,-12.2,222.0,-72.0,-5.8,-0.064,-134.0,-135.0,-269.0,1266.0,,,1579.0,174.0,1125.0,2.0,0.0,4.0,373.0,,0.0,0.0,millions,NZD,,,,53.7
FY2021,2517.0,,,,-377.0,-15.0,339.0,-289.0,-11.5,-0.257,323.0,-231.0,92.0,1105.0,6694.0,5589.0,1547.0,266.0,1123.0,4.0,0.0,8.0,716.0,-35.0,0.0,0.0,millions,NZD,8649.0,17410.0,5908.0,57.3
H1 2022,1125.0,,,,,,,-272.0,-24.2,,62.0,-256.0,-194.0,,,,3366.0,156.0,1123.0,,,,,,0.0,0.0,millions,NZD,3203.0,8772.0,2166.0,58.5
FY2022,2734.0,,,,-672.0,-24.6,-4.0,-591.0,-21.6,-0.408,550.0,-327.0,223.0,1677.0,8350.0,6673.0,3568.0,1793.0,3368.0,8.0,4.0,14.0,668.0,0.0,0.0,0.0,millions,NZD,7745.0,20019.0,7146.0,67.1
H1 2023,3078.0,,,,309.0,10.0,664.0,213.0,6.9,0.063,972.0,-287.0,685.0,1858.0,,,1741.0,2160.0,3368.0,3.0,2.0,46.0,355.0,,0.0,0.0,millions,NZD,,,,
FY2023,6330.0,,,,591.0,9.3,1286.0,412.0,6.5,0.122,1853.0,-602.0,1251.0,2079.0,9195.0,7116.0,3335.0,2227.0,3368.0,6.0,2.0,119.0,695.0,-3.0,0.0,0.06,millions,NZD,15776.0,35961.0,29032.0,84.7
H1 2024,3474.0,,,,179.0,5.2,548.0,129.0,3.7,0.038,411.0,-458.0,-47.0,2009.0,,,1551.0,1670.0,3368.0,4.0,5.0,83.0,369.0,,0.0,0.02,millions,NZD,,,,81.6
FY2024,6752.0,,,,225.0,3.3,941.0,146.0,2.2,0.043,810.0,-791.0,19.0,2010.0,8548.0,6538.0,2816.0,1279.0,3368.0,7.0,5.0,153.0,716.0,26.0,0.0,0.035,millions,NZD,16460.0,42067.0,34285.0,81.5
H1 2025,3403.0,,,,164.0,4.8,528.0,106.0,3.1,0.031,424.0,-297.0,127.0,2050.0,,,1388.0,1542.0,3368.0,3.0,2.0,57.0,364.0,,0.0,0.0125,millions,NZD,,,,83.3
FY2025,6755.0,,,,199.0,2.9,926.0,126.0,1.9,0.038,940.0,-780.0,160.0,1946.0,8731.0,6785.0,2838.0,1436.0,3307.0,8.0,3.0,101.0,727.0,1.0,38.0,0.025,millions,NZD,15907.0,40501.0,33769.0,83.4
H1 2026,3444.0,,,,-46.0,-1.3,327.0,-40.0,-1.2,-0.012,213.0,-693.0,-480.0,1825.0,,,1544.0,1094.0,3233.6,3.0,2.0,37.0,373.0,,43.0,0.0,millions,NZD,,,,83.6
