Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingExpenses,OperatingIncome,NetIncome,EPS,FreeCashFlow,GrossBookings,MAPCs,Trips,MobilityRevenue,DeliveryRevenue,FreightRevenue,AdjustedEBITDA,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
Q1 2020,3543,2111,1432,40.4,,,-2936,-1.70,,-15780,103,1658,2521,819,199,-612,,,8121,
Q2 2020,2241,1364,877,39.1,,,-1780,-1.02,,-10224,78,1447,1497,643,101,-656,,,7645,
Q3 2020,3129,1802,1327,42.4,,,-1095,-0.62,,-14447,93,1766,1844,1092,193,-625,,,8332,
FY2020,11139,6626,4513,40.5,,,-6768,-3.86,,-57878,93,6901,6088,3903,1347,-2540,,,8332,
Q1 2021,2903,1661,1242,42.8,,,-108,-0.06,,-17372,98,1446,1776,1007,120,-359,,,1753,
Q2 2021,3929,2269,1660,42.2,,,619,0.33,,-21900,109,1868,2280,1467,182,-76,,,1880,
Q3 2021,4845,2853,1992,41.1,,,8333,4.34,,-23113,118,1869,2853,1819,173,516,,,1922,
FY2021,17455,10262,7193,41.2,,,8607,4.64,,-85865,118,6902,11344,5959,2236,77,,,1922,
Q1 2022,6854,4135,2719,39.7,,,-5930,-3.04,,-26408,122,1853,3560,2512,782,-359,,,1954,
Q2 2022,8073,4910,3163,39.2,,,-2601,-1.33,,-29078,124,1996,4158,2688,1228,-713,,,1960,
Q3 2022,8343,5125,3218,38.6,,,-1205,-0.61,,-29134,124,2055,4390,2879,1074,-198,,,1979,
FY2022,31877,19605,12272,38.5,,,-9141,-4.67,,-115151,131,7637,17850,10904,3323,-2673,,,1979,
Q1 2023,8823,5430,3393,38.5,,,1049,0.52,,28696,130,2125,4814,3055,954,761,20172,9552,5098,2035,
Q2 2023,9230,5671,3559,38.6,,,-394,-0.19,,31860,137,2282,5156,3144,930,916,20350,9450,5212,2060,
Q3 2023,9294,5734,3560,38.3,,,221,0.09,,33646,142,2377,5191,3061,1042,1092,22193,9237,5616,2139,
FY2023,37281,22908,14373,38.6,,,1887,0.87,,127202,150,9788,19661,12378,3242,2782,22193,9237,5616,2139,
Q1 2024,10131,6168,3963,39.1,,172,-654,-0.32,421,36754,150,2423,5581,2880,1670,1382,23436,9202,5990,2089
Q2 2024,10700,6488,4212,39.4,,796,1015,0.47,1247,39954,156,2555,5999,3057,1645,1570,24822,9139,6185,2076
Q3 2024,11188,6761,4427,39.6,,1061,2612,1.20,1746,40973,161,2768,6420,3447,1302,1690,26688,9010,6379,2068
FY2024,43978,26651,17327,39.4,,2799,9856,4.56,6895,162773,171,11273,24601,12822,6368,6484,26688,9010,9500,2068
Q1 2025,11533,6937,4596,39.9,,1228,1776,0.83,2250,42818,170,3036,6496,3777,1260,1868,21975,9500,5132,2092
Q2 2025,12651,7611,5040,39.8,,1450,1355,0.63,2475,46756,180,3268,7288,4102,1261,2119,22598,10728,6438,2087
Q3 2025,13467,8109,5358,39.8,,1113,6626,3.11,2230,49740,189,3512,7682,4477,1308,2256,28134,11765,8432,2080
Q4 2025,14366,8681,5685,39.6,,1774,296,0.16,2808,54140,202,3528,8204,4892,1270,2487,27041,10521,7105,2068
FY2025,52017,31338,20679,39.8,,5565,10053,4.73,9763,193454,202,13567,29670,17248,5099,8730,27041,10521,7105,2068
Q1 2026,13203,7258,5945,45.0,,1923,263,0.13,2286,53720,199,3643,6798,5068,1337,,24751,10514,5558,2036
